Matric Number,Gender,Current academic level,Preferred living environment,Organize personal space frequency,Productive environment,Atmosphere created,Invite friends frequency,Comfortable with roommate bringing guests,Sleep lights preference,Fan speed preference,Preferred study time,Okay with roommate studying late night
2501827,Male,100,Comfortable with a bit of clutter,Occasionally,Lively with some quiet moments,Energetic,Very often,No,Always ON,Very high,Evening,No
21AB028409,Female,500,Generally tidy,Never,Quiet with occasional activity,Very calm,Occasionally,Sometimes,Must be OFF,High,Evening,Yes
24CF032506,Female,200,Generally tidy,Occasionally,Balanced,Very calm,Occasionally,Sometimes,Always ON,High,Morning,It depends
21CM031657,Female,500,Flexible/ not particular,A few times a week,Balanced,Energetic,Rarely,Sometimes,Prefer OFF,Medium,Morning,Yes
24AA029679,Male,200,Flexible/ not particular,Never,Quiet with occasional activity,Calm,Very often,Sometimes,Always ON,High,Late night,Yes
2501779,Female,100,Comfortable with a bit of clutter,Weekly,Balanced,Calm,Very often,Sometimes,Always ON,Medium,Late night,It depends
23CF036935,Female,300,Generally tidy,Daily,Lively with some quiet moments,Calm,Often,Yes,Prefer OFF,High,Evening,No
23AB037674,Female,300,Very organized,Daily,Balanced,Calm,Often,Sometimes,Prefer OFF,Medium,Late night,No
24AM028520,Female,200,Very organized,Weekly,Quiet with occasional activity,Very calm,Rarely,Yes,Always ON,Very high,Evening,It depends
2501409,Female,100,Very organized,Never,Quiet with occasional activity,Calm,Very often,Yes,Must be OFF,Very high,Late night,Yes
22AB031582,Male,400,Comfortable with a bit of clutter,Never,Balanced,Very calm,Rarely,Sometimes,Always ON,Low,Late night,Yes
23CM036279,Male,300,Generally tidy,Daily,Lively with some quiet moments,Calm,Rarely,No,Must be OFF,Low,Late night,No
22CB028434,Male,400,Comfortable with a bit of clutter,Weekly,Balanced,Very calm,Rarely,Sometimes,Prefer OFF,Very high,Late night,Yes
22CD032151,Female,400,Very organized,Occasionally,Balanced,Energetic,Often,No,Prefer OFF,Low,Evening,No
22CA031257,Male,400,Very organized,A few times a week,Quiet with occasional activity,Very calm,Occasionally,No,Must be OFF,Low,Evening,No
24CF038647,Female,200,Flexible/ not particular,Occasionally,Quiet with occasional activity,Calm,Very often,Yes,Sometimes ON,Very high,Morning,No
2502227,Female,100,Very organized,Occasionally,Quiet with occasional activity,Energetic,Often,No,Prefer OFF,Medium,Late night,No
24AM031611,Male,200,Flexible/ not particular,Weekly,Balanced,Very calm,Occasionally,Sometimes,Prefer OFF,Medium,Afternoon,It depends
22CG031883,Female,400,Comfortable with a bit of clutter,Occasionally,Lively with some quiet moments,Very calm,Rarely,Sometimes,Must be OFF,Medium,Late night,No
21BD037654,Male,500,Comfortable with a bit of clutter,Weekly,Balanced,Very calm,Rarely,Sometimes,Always ON,Medium,Morning,No
23CD028106,Female,300,Very organized,A few times a week,Balanced,Energetic,Never,No,Sometimes ON,Medium,Late night,No
24DA030615,Female,200,Flexible/ not particular,Daily,Lively with some quiet moments,Very calm,Often,Sometimes,Sometimes ON,High,Late night,Yes
23CF034924,Male,300,Very organized,A few times a week,Balanced,Energetic,Often,Yes,Must be OFF,Medium,Afternoon,It depends
22CG031853,Female,400,Generally tidy,Weekly,Lively with some quiet moments,Calm,Rarely,Yes,Sometimes ON,Medium,Morning,Yes
22BM032552,Male,400,Comfortable with a bit of clutter,Never,Balanced,Very calm,Very often,Sometimes,Prefer OFF,Very high,Evening,No
21AA031527,Male,500,Very organized,A few times a week,Lively with some quiet moments,Calm,Very often,Sometimes,Prefer OFF,Very high,Late night,No
22DA033514,Male,400,Very organized,Daily,Lively with some quiet moments,Very calm,Occasionally,No,Sometimes ON,Medium,Late night,It depends
22AB029519,Male,400,Comfortable with a bit of clutter,Occasionally,Balanced,Energetic,Often,Yes,Sometimes ON,Low,Morning,It depends
23AM029584,Female,300,Flexible/ not particular,Never,Lively with some quiet moments,Energetic,Occasionally,No,Sometimes ON,Medium,Afternoon,It depends
24BM033635,Female,200,Flexible/ not particular,Never,Lively with some quiet moments,Very calm,Rarely,Yes,Always ON,High,Late night,It depends
24CB032333,Male,200,Comfortable with a bit of clutter,Never,Lively with some quiet moments,Energetic,Occasionally,No,Sometimes ON,Low,Late night,Yes
24DA028711,Male,200,Flexible/ not particular,Never,Balanced,Calm,Often,No,Prefer OFF,High,Late night,Yes
24CF035527,Male,200,Comfortable with a bit of clutter,Occasionally,Quiet with occasional activity,Very calm,Often,No,Sometimes ON,Low,Afternoon,No
23CA030045,Male,300,Very organized,Daily,Lively with some quiet moments,Very calm,Rarely,No,Always ON,Low,Afternoon,No
2501366,Female,100,Generally tidy,Occasionally,Balanced,Calm,Never,Yes,Must be OFF,Low,Afternoon,No
23AB037044,Female,300,Very organized,Weekly,Quiet with occasional activity,Very calm,Often,Yes,Sometimes ON,High,Afternoon,It depends
21CD038299,Male,500,Very organized,Weekly,Quiet with occasional activity,Very calm,Occasionally,Yes,Always ON,Very high,Afternoon,Yes
23CB033925,Male,300,Comfortable with a bit of clutter,A few times a week,Balanced,Very calm,Rarely,Sometimes,Sometimes ON,Low,Morning,It depends
22CB031150,Male,400,Very organized,Never,Quiet with occasional activity,Very calm,Occasionally,Sometimes,Sometimes ON,Very high,Afternoon,No
24CF029139,Female,200,Very organized,Never,Balanced,Very calm,Never,Sometimes,Prefer OFF,Low,Evening,No
21CG038834,Female,500,Very organized,A few times a week,Lively with some quiet moments,Calm,Never,Yes,Always ON,High,Evening,No
22CE032242,Female,400,Flexible/ not particular,Never,Lively with some quiet moments,Very calm,Often,No,Sometimes ON,Very high,Afternoon,It depends
21CM032741,Female,500,Flexible/ not particular,Never,Lively with some quiet moments,Calm,Occasionally,No,Prefer OFF,High,Late night,Yes
23AB031814,Female,300,Generally tidy,A few times a week,Lively with some quiet moments,Energetic,Rarely,No,Prefer OFF,High,Morning,No
2501471,Male,100,Generally tidy,Occasionally,Quiet with occasional activity,Calm,Occasionally,Sometimes,Must be OFF,High,Late night,It depends
24AM032554,Male,200,Flexible/ not particular,Occasionally,Lively with some quiet moments,Energetic,Never,No,Must be OFF,High,Late night,It depends
21BD038415,Female,500,Flexible/ not particular,Never,Lively with some quiet moments,Calm,Never,Sometimes,Always ON,Low,Evening,It depends
22DB033977,Male,400,Very organized,A few times a week,Balanced,Calm,Very often,No,Prefer OFF,Very high,Evening,No
23AA034065,Male,300,Very organized,Daily,Quiet with occasional activity,Very calm,Never,No,Prefer OFF,Low,Afternoon,No
2501508,Female,100,Very organized,Occasionally,Lively with some quiet moments,Energetic,Rarely,Yes,Sometimes ON,High,Afternoon,Yes
22CM038980,Male,400,Very organized,Never,Balanced,Calm,Never,No,Sometimes ON,Low,Late night,Yes
24CD039498,Female,200,Very organized,A few times a week,Lively with some quiet moments,Calm,Never,Yes,Must be OFF,High,Morning,Yes
21DC039199,Male,500,Flexible/ not particular,A few times a week,Quiet with occasional activity,Energetic,Very often,Yes,Must be OFF,Low,Evening,Yes
2501272,Female,100,Comfortable with a bit of clutter,Weekly,Quiet with occasional activity,Energetic,Rarely,No,Must be OFF,Very high,Evening,Yes
23AB037980,Male,300,Generally tidy,Weekly,Balanced,Energetic,Never,Yes,Must be OFF,Medium,Morning,It depends
23CE030803,Female,300,Flexible/ not particular,A few times a week,Balanced,Very calm,Rarely,Sometimes,Sometimes ON,Very high,Late night,Yes
21CA039946,Male,500,Very organized,Daily,Balanced,Energetic,Rarely,Sometimes,Always ON,Low,Afternoon,It depends
24CM030677,Male,200,Generally tidy,Weekly,Lively with some quiet moments,Calm,Very often,No,Must be OFF,Very high,Late night,It depends
23BD034216,Female,300,Flexible/ not particular,Weekly,Lively with some quiet moments,Energetic,Often,Sometimes,Always ON,Very high,Morning,No
22CD038485,Male,400,Comfortable with a bit of clutter,Weekly,Quiet with occasional activity,Calm,Often,No,Always ON,Very high,Morning,It depends
24CF037125,Male,200,Generally tidy,Weekly,Balanced,Calm,Rarely,Yes,Sometimes ON,Low,Late night,It depends
2502556,Female,100,Generally tidy,Daily,Lively with some quiet moments,Very calm,Occasionally,Sometimes,Must be OFF,High,Evening,Yes
21CE033313,Male,500,Comfortable with a bit of clutter,Weekly,Lively with some quiet moments,Energetic,Occasionally,No,Must be OFF,Very high,Evening,It depends
2501177,Female,100,Comfortable with a bit of clutter,Weekly,Balanced,Calm,Very often,Sometimes,Prefer OFF,Medium,Evening,Yes
22CM028525,Male,400,Very organized,A few times a week,Lively with some quiet moments,Very calm,Rarely,No,Must be OFF,Medium,Late night,Yes
22CC031793,Female,400,Generally tidy,A few times a week,Balanced,Energetic,Very often,Sometimes,Must be OFF,Low,Afternoon,It depends
2501514,Female,100,Flexible/ not particular,Occasionally,Lively with some quiet moments,Energetic,Never,No,Prefer OFF,High,Morning,Yes
22CG031839,Female,400,Generally tidy,Occasionally,Quiet with occasional activity,Very calm,Never,No,Always ON,High,Morning,No
24AM032386,Female,200,Flexible/ not particular,Never,Balanced,Very calm,Very often,Yes,Sometimes ON,Low,Late night,No
2502493,Male,100,Flexible/ not particular,Weekly,Balanced,Energetic,Occasionally,Yes,Always ON,Low,Evening,It depends
24CM037292,Male,200,Generally tidy,Occasionally,Lively with some quiet moments,Very calm,Occasionally,No,Must be OFF,Low,Evening,No
23DC039762,Female,300,Flexible/ not particular,Weekly,Lively with some quiet moments,Energetic,Very often,Sometimes,Must be OFF,High,Morning,Yes
22CD032134,Female,400,Very organized,Weekly,Balanced,Very calm,Rarely,Yes,Always ON,High,Afternoon,Yes
23BM031483,Male,300,Generally tidy,A few times a week,Quiet with occasional activity,Calm,Never,Yes,Always ON,Very high,Afternoon,It depends
22CD032145,Female,400,Very organized,Weekly,Balanced,Calm,Occasionally,No,Sometimes ON,High,Evening,No
2501784,Female,100,Generally tidy,Weekly,Balanced,Calm,Very often,Sometimes,Must be OFF,Very high,Afternoon,No
23BD034482,Male,300,Generally tidy,Never,Balanced,Very calm,Very often,Sometimes,Sometimes ON,Low,Morning,It depends
23DC038532,Female,300,Generally tidy,Weekly,Quiet with occasional activity,Calm,Very often,Yes,Prefer OFF,High,Evening,No
21BD030340,Female,500,Generally tidy,A few times a week,Balanced,Very calm,Never,No,Sometimes ON,Low,Late night,No
22CD030287,Male,400,Comfortable with a bit of clutter,Never,Quiet with occasional activity,Energetic,Never,Yes,Must be OFF,Medium,Morning,It depends
22CG031863,Female,400,Very organized,Never,Quiet with occasional activity,Very calm,Very often,Yes,Sometimes ON,High,Late night,It depends
23CM037197,Male,300,Flexible/ not particular,Occasionally,Quiet with occasional activity,Energetic,Never,Yes,Always ON,High,Morning,Yes
24CA032304,Female,200,Flexible/ not particular,Never,Quiet with occasional activity,Energetic,Never,Sometimes,Always ON,High,Late night,No
21CF037577,Female,500,Flexible/ not particular,Daily,Balanced,Energetic,Never,Yes,Always ON,High,Late night,It depends
22AM037560,Male,400,Generally tidy,Daily,Lively with some quiet moments,Calm,Very often,Yes,Always ON,Very high,Morning,Yes
22CH032013,Female,400,Flexible/ not particular,Daily,Lively with some quiet moments,Calm,Rarely,Yes,Sometimes ON,Very high,Late night,It depends
24AM033930,Male,200,Generally tidy,A few times a week,Balanced,Very calm,Never,No,Must be OFF,Very high,Late night,It depends
2502087,Male,100,Very organized,Daily,Quiet with occasional activity,Calm,Rarely,Sometimes,Must be OFF,Very high,Morning,It depends
21AA036348,Male,500,Generally tidy,Weekly,Balanced,Energetic,Never,No,Must be OFF,Very high,Evening,No
22BD029489,Male,400,Generally tidy,Daily,Lively with some quiet moments,Energetic,Never,Sometimes,Always ON,Very high,Afternoon,Yes
21DA028771,Female,500,Comfortable with a bit of clutter,Weekly,Lively with some quiet moments,Calm,Occasionally,No,Prefer OFF,Medium,Afternoon,Yes
23DB029796,Female,300,Very organized,Weekly,Lively with some quiet moments,Very calm,Occasionally,No,Prefer OFF,Low,Evening,Yes
21AA038280,Female,500,Flexible/ not particular,Weekly,Quiet with occasional activity,Very calm,Rarely,No,Must be OFF,High,Morning,Yes
2502401,Female,100,Generally tidy,Occasionally,Quiet with occasional activity,Energetic,Often,Yes,Must be OFF,Very high,Late night,No
24DA039149,Male,200,Comfortable with a bit of clutter,Daily,Balanced,Calm,Very often,Sometimes,Prefer OFF,High,Afternoon,It depends
23AM037771,Female,300,Flexible/ not particular,Daily,Balanced,Very calm,Rarely,No,Sometimes ON,Medium,Evening,It depends
23AB034304,Male,300,Flexible/ not particular,Occasionally,Lively with some quiet moments,Calm,Very often,No,Must be OFF,Low,Late night,No
21AM037763,Male,500,Generally tidy,A few times a week,Balanced,Calm,Very often,Yes,Prefer OFF,High,Late night,No
24BD036669,Male,200,Generally tidy,Daily,Lively with some quiet moments,Very calm,Very often,Yes,Must be OFF,High,Late night,Yes
22CH032006,Female,400,Generally tidy,Weekly,Lively with some quiet moments,Calm,Often,Yes,Always ON,Very high,Morning,It depends
23CD037064,Female,300,Comfortable with a bit of clutter,A few times a week,Quiet with occasional activity,Very calm,Rarely,No,Sometimes ON,Very high,Evening,It depends
23DB028188,Male,300,Generally tidy,Never,Balanced,Energetic,Very often,Sometimes,Always ON,Medium,Morning,No
23CE039808,Female,300,Flexible/ not particular,Never,Lively with some quiet moments,Calm,Never,Yes,Prefer OFF,Medium,Evening,No
22AB039169,Male,400,Comfortable with a bit of clutter,A few times a week,Lively with some quiet moments,Calm,Very often,Yes,Must be OFF,Very high,Afternoon,No
2502434,Female,100,Comfortable with a bit of clutter,Weekly,Quiet with occasional activity,Calm,Occasionally,No,Sometimes ON,Very high,Afternoon,Yes
22DA032371,Male,400,Very organized,Weekly,Quiet with occasional activity,Calm,Often,Yes,Always ON,Low,Morning,No
24DA038501,Female,200,Generally tidy,Daily,Balanced,Calm,Occasionally,Sometimes,Sometimes ON,Very high,Evening,Yes
2502103,Male,100,Comfortable with a bit of clutter,A few times a week,Lively with some quiet moments,Energetic,Never,Yes,Prefer OFF,Very high,Late night,No
21AB032808,Male,500,Very organized,A few times a week,Balanced,Calm,Rarely,Yes,Sometimes ON,High,Evening,No
2501183,Male,100,Comfortable with a bit of clutter,Occasionally,Balanced,Very calm,Very often,Sometimes,Must be OFF,Medium,Morning,It depends
22AA035433,Male,400,Very organized,Weekly,Balanced,Energetic,Often,Yes,Prefer OFF,High,Evening,Yes
23CG039830,Male,300,Flexible/ not particular,A few times a week,Balanced,Calm,Occasionally,No,Always ON,Very high,Morning,Yes
22DC039791,Female,400,Flexible/ not particular,Never,Lively with some quiet moments,Calm,Never,No,Prefer OFF,High,Evening,No
22CD036201,Female,400,Flexible/ not particular,A few times a week,Quiet with occasional activity,Calm,Rarely,No,Sometimes ON,High,Late night,It depends
23DA030927,Female,300,Generally tidy,Daily,Lively with some quiet moments,Calm,Occasionally,Yes,Must be OFF,High,Late night,It depends
22CA029743,Female,400,Comfortable with a bit of clutter,Daily,Lively with some quiet moments,Calm,Occasionally,Sometimes,Prefer OFF,Medium,Morning,Yes
22DB038244,Male,400,Flexible/ not particular,Weekly,Quiet with occasional activity,Calm,Often,Sometimes,Prefer OFF,Low,Late night,It depends
22CD038468,Male,400,Generally tidy,Never,Lively with some quiet moments,Energetic,Very often,Yes,Prefer OFF,Very high,Evening,Yes
23CA037977,Male,300,Comfortable with a bit of clutter,Occasionally,Quiet with occasional activity,Calm,Never,Sometimes,Prefer OFF,High,Afternoon,No
2502921,Male,100,Comfortable with a bit of clutter,Occasionally,Quiet with occasional activity,Energetic,Never,Sometimes,Prefer OFF,Medium,Morning,Yes
23AA034126,Female,300,Comfortable with a bit of clutter,Never,Balanced,Calm,Very often,Sometimes,Must be OFF,High,Evening,It depends
24DA030646,Female,200,Comfortable with a bit of clutter,A few times a week,Lively with some quiet moments,Calm,Never,Sometimes,Prefer OFF,Medium,Late night,It depends
2502277,Male,100,Flexible/ not particular,Daily,Quiet with occasional activity,Very calm,Very often,Yes,Sometimes ON,Very high,Afternoon,It depends
21DA036689,Female,500,Generally tidy,A few times a week,Balanced,Energetic,Very often,No,Prefer OFF,Medium,Afternoon,Yes
2502002,Male,100,Comfortable with a bit of clutter,Daily,Balanced,Calm,Never,No,Must be OFF,High,Morning,It depends
21CB033310,Male,500,Generally tidy,Never,Balanced,Calm,Often,Sometimes,Must be OFF,Low,Evening,Yes
21BD028319,Male,500,Comfortable with a bit of clutter,A few times a week,Balanced,Energetic,Very often,Sometimes,Always ON,High,Evening,It depends
24AB033947,Female,200,Flexible/ not particular,Weekly,Lively with some quiet moments,Calm,Occasionally,No,Must be OFF,Low,Evening,No
24DC033038,Female,200,Generally tidy,Never,Lively with some quiet moments,Calm,Often,No,Sometimes ON,Very high,Morning,Yes
21CM028949,Female,500,Very organized,Occasionally,Balanced,Calm,Often,Sometimes,Prefer OFF,High,Afternoon,No
22CM037295,Female,400,Generally tidy,Weekly,Quiet with occasional activity,Calm,Often,Sometimes,Must be OFF,Low,Evening,Yes
22AB029403,Female,400,Very organized,Weekly,Balanced,Very calm,Never,Sometimes,Prefer OFF,Medium,Evening,Yes
23CF035962,Male,300,Flexible/ not particular,Daily,Quiet with occasional activity,Energetic,Occasionally,Yes,Always ON,Medium,Afternoon,It depends
22DB029133,Male,400,Comfortable with a bit of clutter,A few times a week,Lively with some quiet moments,Calm,Often,Yes,Always ON,High,Evening,Yes
23DA036727,Female,300,Very organized,Weekly,Quiet with occasional activity,Very calm,Rarely,Yes,Sometimes ON,Low,Afternoon,Yes
22DA030060,Female,400,Flexible/ not particular,Weekly,Lively with some quiet moments,Energetic,Often,Sometimes,Must be OFF,Medium,Morning,No
2501408,Male,100,Comfortable with a bit of clutter,Weekly,Lively with some quiet moments,Calm,Often,Yes,Sometimes ON,Very high,Late night,No
2501863,Male,100,Flexible/ not particular,Never,Balanced,Very calm,Rarely,Yes,Prefer OFF,Medium,Evening,Yes
21BD037007,Male,500,Generally tidy,Daily,Balanced,Calm,Very often,No,Always ON,Medium,Evening,Yes
23AA032342,Male,300,Flexible/ not particular,Never,Quiet with occasional activity,Very calm,Very often,No,Prefer OFF,Medium,Afternoon,Yes
24CA037938,Female,200,Very organized,Occasionally,Balanced,Energetic,Never,Sometimes,Always ON,Very high,Afternoon,No
22AM031470,Female,400,Comfortable with a bit of clutter,Never,Quiet with occasional activity,Calm,Occasionally,Yes,Sometimes ON,Very high,Late night,Yes
24DC036835,Female,200,Generally tidy,Weekly,Lively with some quiet moments,Energetic,Rarely,Yes,Always ON,Low,Late night,It depends
24DA039959,Male,200,Very organized,Daily,Lively with some quiet moments,Calm,Never,Sometimes,Always ON,Medium,Morning,No
2502479,Female,100,Generally tidy,Weekly,Quiet with occasional activity,Calm,Never,Sometimes,Always ON,High,Afternoon,It depends
22CF033107,Male,400,Flexible/ not particular,Weekly,Lively with some quiet moments,Energetic,Never,Yes,Sometimes ON,Very high,Late night,It depends
2502255,Female,100,Generally tidy,Occasionally,Balanced,Very calm,Never,Yes,Always ON,Very high,Afternoon,It depends
21AM039004,Male,500,Comfortable with a bit of clutter,Never,Lively with some quiet moments,Very calm,Never,Yes,Always ON,Low,Afternoon,It depends
2502205,Male,100,Generally tidy,Never,Lively with some quiet moments,Energetic,Often,No,Sometimes ON,Very high,Evening,No
21CE034118,Male,500,Flexible/ not particular,Weekly,Balanced,Very calm,Rarely,Yes,Always ON,High,Late night,No
24BD036479,Female,200,Generally tidy,Never,Quiet with occasional activity,Energetic,Very often,Sometimes,Must be OFF,Very high,Afternoon,No
22BD029982,Male,400,Very organized,Never,Quiet with occasional activity,Very calm,Often,No,Always ON,Very high,Morning,It depends
24CM031681,Male,200,Flexible/ not particular,Weekly,Quiet with occasional activity,Energetic,Occasionally,No,Prefer OFF,Medium,Late night,Yes
2501443,Female,100,Generally tidy,A few times a week,Lively with some quiet moments,Energetic,Never,Sometimes,Must be OFF,Very high,Late night,Yes
23AB033539,Female,300,Very organized,Daily,Quiet with occasional activity,Energetic,Rarely,Sometimes,Prefer OFF,High,Morning,It depends
22CG037638,Male,400,Flexible/ not particular,Daily,Lively with some quiet moments,Energetic,Never,No,Must be OFF,Low,Late night,Yes
23CA031770,Female,300,Very organized,Occasionally,Quiet with occasional activity,Very calm,Occasionally,No,Always ON,Medium,Late night,Yes
2502623,Male,100,Comfortable with a bit of clutter,Daily,Lively with some quiet moments,Energetic,Never,Sometimes,Sometimes ON,Medium,Morning,Yes
23CB031608,Female,300,Very organized,A few times a week,Balanced,Very calm,Occasionally,Sometimes,Prefer OFF,High,Morning,Yes
2502847,Female,100,Comfortable with a bit of clutter,A few times a week,Quiet with occasional activity,Very calm,Often,Sometimes,Always ON,Medium,Late night,No
24CG029163,Male,200,Comfortable with a bit of clutter,Never,Lively with some quiet moments,Very calm,Often,Yes,Sometimes ON,Very high,Afternoon,No
24CF038339,Female,200,Very organized,Weekly,Lively with some quiet moments,Very calm,Often,Yes,Always ON,Very high,Evening,It depends
21CG031750,Female,500,Generally tidy,Occasionally,Lively with some quiet moments,Energetic,Never,Yes,Prefer OFF,Medium,Evening,It depends
2502614,Male,100,Generally tidy,Daily,Lively with some quiet moments,Energetic,Very often,No,Always ON,Low,Evening,No
23AB028514,Female,300,Generally tidy,A few times a week,Quiet with occasional activity,Calm,Rarely,Sometimes,Must be OFF,Low,Afternoon,It depends
